analysis_id,8547t5815w1o197
gene_accession_id,MGI:1913483
parameter_name,Follicular B cells - % of CD45+
mouse_strain,C57BL
pvalue,0.6467755
mouse_life_stage,E12.5
parameter_id,MGP_IMM_112_001
gene_symbol,Dmap1
