parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Late adult
pvalue,0.4919348
gene_accession_id,MGI:1336200
gene_symbol,Hpca
analysis_id,n4k2jsc041ufk8t
mouse_strain,C57BL
