analysis_id,1163b6i2g2gts4n
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_id,MGP_IMM_078_001
gene_symbol,Nanp
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.6571331
