analysis_id,lf7y867pzvpn0fx
mouse_strain,C57BL
parameter_id,MGP_IMM_014_001
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
pvalue,0.7425391
