parameter_name,Heart weight
gene_accession_id,MGI:88174
analysis_id,x361183vy25hshs
gene_symbol,Bmi1
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7189199
