parameter_name,Lower teeth appearance
mouse_strain,C57BL
gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
pvalue,0.6747548
analysis_id,6vx36sx002nluwd
gene_accession_id,MGI:894679
