gene_symbol,Nr0b2
parameter_name,Effector NK cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.1198962
gene_accession_id,MGI:1346344
parameter_id,MGP_IMM_099_001
analysis_id,f0fo975x9t73o10
mouse_strain,B6J
