analysis_id,9ypmi49v3g985gj
gene_symbol,Secisbp2l
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.1754798
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
