gene_symbol,Gfi1b
analysis_id,8798s6wx6yv0kdo
parameter_name,Total ab T cells - % of CD45+
pvalue,0.4699422
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1276578
