analysis_id,9s0aft305089f6e
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:109356
pvalue,0.1435121
gene_symbol,Snap23
parameter_name,Zygomatic bone
