analysis_id,jfrraobmk2s03hb
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
gene_symbol,Stk35
mouse_strain,C57BL
gene_accession_id,MGI:1914583
pvalue,1.027358e-08
mouse_life_stage,Early adult
