analysis_id,5pu4a842lu85pmr
parameter_id,IMPC_HEM_038_001
gene_symbol,Tbl1xr1
pvalue,0.326993
gene_accession_id,MGI:2441730
parameter_name,Basophil differential count
mouse_life_stage,Late adult
mouse_strain,C57BL
