parameter_name,% Freezing duration habituation-1
pvalue,0.1045448
analysis_id,66u631x12q7gx4x
gene_symbol,Zc2hc1a
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
parameter_id,ICS_FEA_016_001
