parameter_name,Skull shape
mouse_life_stage,Early adult
gene_symbol,Lamb3
mouse_strain,C57BL
gene_accession_id,MGI:99915
parameter_id,IMPC_XRY_001_001
pvalue,0.8028878
analysis_id,fl83i5w4w66ut4h
