analysis_id,k2e9x02090w4g6j
pvalue,0.8391401
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
