parameter_name,B Cells
mouse_strain,C57BL
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
pvalue,0.3229783
parameter_id,IMPC_IMM_063_001
gene_symbol,Kifap3
analysis_id,r89s90rv219amqn
