gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
parameter_name,Tibia length
pvalue,0.1501052
analysis_id,y0v8y5407i69uwi
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
