parameter_name,Glucose
gene_accession_id,MGI:3616086
parameter_id,IMPC_CBC_018_001
analysis_id,7eh0v9zcinsv6e7
gene_symbol,Kcng1
pvalue,0.3663363
mouse_strain,C57BL
mouse_life_stage,Early adult
