analysis_id,54cci6vx3yx012b
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
pvalue,0.3602818
gene_symbol,Hspa5
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
