parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
pvalue,0.2113761
analysis_id,ee4o1w4pw7s5rrl
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
