parameter_name,Ulna
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
mouse_strain,C57BL
pvalue,0.5840576
parameter_id,IMPC_XRY_023_001
gene_symbol,Kdm5b
analysis_id,f8135c07l4ag1hv
