parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
pvalue,0.9334096
analysis_id,zm5exp85763l6pz
mouse_strain,C50BL
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
mouse_life_stage,E12.5
