parameter_name,Periphery average speed
gene_accession_id,MGI:1332236
analysis_id,j65e7e4584ta75r
pvalue,0.5425179
gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
mouse_strain,129SV
