parameter_id,JAX_URI_002_001
parameter_name,Creatinine
pvalue,0.3191328
gene_accession_id,MGI:1345282
mouse_strain,C57BL
gene_symbol,Slc30a4
analysis_id,e4agy3b1dsxw9ti
mouse_life_stage,Early adult
