analysis_id,cf1oo8901cr11h4
Parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
Mouse_strain,C57BL
Gene_symbol,Car13
pvalue,0.424552
Gene_accession_id,MGI:1931322
Parameter_name,Snout morphology
