gene_symbol,Trp53i11
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_name,Prepulse inhibition - PP4
pvalue,0.9090978
analysis_id,5c4xkfgk2av9565
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
