gene_symbol,Sgip1
parameter_id,MGP_MLN_063_001
mouse_strain,C57BL
pvalue,0.4563983
mouse_life_stage,Early adult
analysis_id,360ausc153g48wu
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1920344
