gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1913838
pvalue,0.8415726
mouse_strain,C57BL
analysis_id,gzm6mm15571vl12
