gene_symbol,Secisbp2l
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,1.372485
parameter_name,Total T cell percentage
analysis_id,71634kp35578a1n
gene_accession_id,MGI:1917604
