parameter_id,IMPC_HEM_006_001
mouse_life_stage,Late adult
analysis_id,h50is26303i6595
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
pvalue,0.4242349
