parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.7008925
analysis_id,2d5t437vr8n1r16
mouse_life_stage,Late adult
parameter_name,Ulna
mouse_strain,C57BL
