parameter_name,Thyroxine
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:1341628
analysis_id,3pp2xvls2201169
gene_symbol,Atrn
mouse_life_stage,Early adult
pvalue,0.5895398
