analysis_id,1n78fak1bcn77x5
mouse_life_stage,Early adult
gene_symbol,Mov10
parameter_id,IMPC_GEP_076_001
pvalue,0.1457989
gene_accession_id,MGI:97054
mouse_strain,C57BL
parameter_name,Cleft palate
