analysis_id,020ra311ng46s16
pvalue,0.4252289
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_strain,C57BL
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
mouse_life_stage,Early adult
