analysis_id,29x22h9dk50q815
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.6156513
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
parameter_id,MGP_IMM_079_001
gene_symbol,Hspa5
