parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,60rqr4h2mwwb9lz
parameter_id,MGP_PBI_018_001
pvalue,0.7976687
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
