parameter_name,Tremor
gene_symbol,Atrn
analysis_id,22r037w3z6y9886
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.09888732
gene_accession_id,MGI:1341628
parameter_id,TCPLA_CSD_030_001
