parameter_name,Eye
gene_accession_id,MGI:1922082
pvalue,0.4633859
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,648r144bzqh6y37
gene_symbol,Slc45a3
