gene_symbol,Gpbp1l1
pvalue,0.8961124
analysis_id,07315yy251s9s7w
gene_accession_id,MGI:1924360
parameter_id,MGP_MLN_005_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
