analysis_id,g0v7125pqj7j4v2
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
pvalue,0.9866315
gene_symbol,Sema6c
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
mouse_strain,C57BL
