analysis_id,e3mc94515m4jjj0
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.8853164
