analysis_id,536484828c92k88
mouse_life_stage,Early adult
pvalue,0.9713015
gene_accession_id,MGI:2685266
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
gene_symbol,Pglyrp3
mouse_strain,C57BL
