analysis_id,54x96gkn67msu2h
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
pvalue,0.1754856
mouse_life_stage,Early adult
parameter_name,Glucose
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
