analysis_id,v681h67k2b05159
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Wars2
mouse_life_stage,E9.5
pvalue,0.7300149
parameter_id,MGP_IMM_073_001
gene_accession_id,MGI:1917810
