gene_symbol,Toporsl
mouse_strain,C57BL
pvalue,0.3592295
gene_accession_id,MGI:1915524
analysis_id,e97908223558s2s
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
