gene_symbol,Il1r1
analysis_id,h8g33r679sa2621
pvalue,0.793697
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
gene_accession_id,MGI:96545
mouse_life_stage,Early adult
