gene_symbol,Rgs20
parameter_id,IMPC_OWT_004_001
pvalue,0.3504144
mouse_strain,C57BL
analysis_id,ke2987d9m6e90y8
mouse_life_stage,Early adult
parameter_name,Right kidney weight
gene_accession_id,MGI:1929866
