parameter_name,center - resting time
gene_accession_id,MGI:1916220
pvalue,0.3892436
analysis_id,46p04uxonq66h5p
mouse_strain,C57BL
gene_symbol,DCAF12
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
