analysis_id,j09q29k3b5x65o9
gene_accession_id,MGI:3045306
pvalue,0.7987533
mouse_strain,C57BL
gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_name,Limb grasping
parameter_id,ESLIM_008_001_017
