gene_symbol,Il1r1
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:96545
pvalue,0.0832864
mouse_strain,C57BL
analysis_id,95w4f56fta6id3c
parameter_name,Retina (combined)
mouse_life_stage,Early adult
