pvalue,2.974502e-08
gene_symbol,Casq1
gene_accession_id,MGI:1309468
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
analysis_id,s593sarmds53215
mouse_strain,C57BL
parameter_name,Cholesterol ratio
