parameter_name,Gait
mouse_life_stage,Early adult
analysis_id,b53enuw61097447
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1341628
gene_symbol,Atrn
pvalue,0.2314215
