parameter_name,Heart weight
analysis_id,ib8128a8d593ebt
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.1661001
mouse_life_stage,Late adult
parameter_id,HMGULA_HWT_008_001
