analysis_id,452425k33f9363x
mouse_life_stage,Early adult
parameter_name,Mean left eye lens density
gene_symbol,Hrnr
mouse_strain,C57BL
pvalue,0.09662362
gene_accession_id,MGI:3046938
parameter_id,IMPC_EYE_056_001
