analysis_id,109yvs4q159l4ii
mouse_life_stage,Early adult
pvalue,0.5561887
mouse_strain,C57BL
parameter_name,Joints
gene_accession_id,MGI:1915325
parameter_id,IMPC_XRY_027_001
gene_symbol,Lurap1
