parameter_name,Limb grasping
analysis_id,44d08qe0x0j00ct
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Hnf4a
pvalue,0.0822347
gene_accession_id,MGI:109128
parameter_id,ESLIM_008_001_017
