analysis_id,3r5wj17zpuclmk8
pvalue,0.9785585
mouse_life_stage,Early adult
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
parameter_id,MGP_PBI_033_001
