gene_symbol,Pex19
gene_accession_id,MGI:1334458
mouse_life_stage,E18.5
pvalue,0.1374895
parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
analysis_id,rmw51n180293u07
