parameter_name,Snout morphology
analysis_id,45s1mz0c7063c5j
pvalue,0.349309
gene_symbol,Bach2
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
