parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_name,Pericardium Morphology
mouse_life_stage,E12.5
pvalue,1.372535
analysis_id,8ev5ysl4tnw3t65
