gene_symbol,Secisbp2l
analysis_id,7s82791p0up72p8
mouse_strain,C57BL
parameter_name,Neural tube closure
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
parameter_id,IMPC_GEL_027_001
pvalue,0.1390643
