gene_symbol,Hpca
parameter_id,MGP_IMM_131_001
analysis_id,0og0x053444o26p
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_accession_id,MGI:1336200
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2728796
