analysis_id,41x3hd249sf22sy
mouse_life_stage,Early adult
pvalue,0.7421004
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:88071
mouse_strain,C57BL
parameter_id,M-G-P_006_001_026
gene_symbol,Arnt
