parameter_name,B cell number
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
analysis_id,5eii7q1dn91959v
pvalue,0.5162932
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
gene_symbol,AU040320
